Product Price,Model Number,Processor Type,Processor Speed,RAM Size,Graphics Card,Screen Size,Operating System,Display Type,Storage Value,Storage Type,kmeans
4699.0,Asus Vivobook S15 S5507QA-MA001W,Snapdragon X Elite X1E 78 100,3.4,32,Qualcomm Adreno GPU,15.6,Windows 11 Home,3k,1024,SSD M.2,2
4699.0,ThinkPad X1 Carbon Gen 11,Intel Core i7-1355U (13th Gen),1.7,16,Intel Iris Xe Graphics,14.0,Windows 11 Professional,WUXGA,1024,SSD M.2,4
3799.0,Asus TUF Gaming FX507ZC4-HN007,Intel Core i7-12700H (12th Gen),2.3,16,NVIDIA GeForce RTX 3050 4GB,15.6,Dos,Full HD,1024,SSD M.2,4
2649.0,Dell Vostro 15 3520,Intel Core i7-1255U (12th Gen),1.7,8,Intel UHD Graphics,15.6,Windows 11 Home,Full HD,512,SSD M.2,1
17999.0,Apple MacBook Pro 16-Inch M3 Max,Apple M3 Max chip,3.6,48,40-core GPU,16.2,macOS Sonoma,Full HD,1024,SSD,2
5299.0,apple MacBook Air M2,Apple M2 chip,3.2,8,10-core GPU,13.6,macOS Monterey,Full HD,512,SSD,0
2999.0,Acer Nitro V 15 ANV15-51-59U0,Intel Core i5-13420H (13th Gen),1.5,16,NVIDIA GeForce RTX 3050 6GB,15.6,Dos,Full HD,512,SSD M.2,1
5699.0,Apple MacBook Air M3,Apple M3 chip,3.4,8,10-core GPU,13.6,macOS Sonoma,Full HD,512,SSD,0
1749.0,Lenovo IdeaPad 1 15IAU7,Intel Core i5-1235U (12th Gen),0.9,8,Intel Iris Xe Graphics,15.6,Dos,Full HD,512,SSD M.2,1
1849.0,Huawei Matebook B3-420,Intel Core i5-1135G7 (11th Gen),2.4,8,Intel Iris Xe Graphics,14.0,Windows 10 Professional,Full HD,512,SSD M.2,1
12799.0,Apple MacBook Pro 16-Inch M3 Pro,Apple M3 Pro chip,3.5,18,18-core GPU,16.2,macOS Sonoma,Full HD,1024,SSD,0
6999.0,Lenovo Legion Pro 5 16IRX9,Intel Core i9-14900HX (14th Generation),2.2,32,"NVIDIA GeForce RTX 4060 8GB GDDR6, Boost Clock 2370MHz, TGP 140W",16.0,Dos,WQXGA,1024,SSD M.2,4
1899.0,Asus ExpertBook B1 (B1502CBA-NJ2034 - 12th Gen Intel),Intel Core i5-1235U (12th Gen),1.3,8,Intel UHD Graphics,15.6,Dos,Full HD,512,SSD M.2,1
2399.0,IdeaPad Slim 3 15IRH8,Intel Core i7-13620H (13th Gen),1.8,16,Intel UHD Graphics,15.6,Dos,Full HD,512,SSD M.2,1
